Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 4,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,0 - 2,2,25.S1.3,Skarner,K'Sante,Rakan,Aurora,Poppy,Vi,Varus,"Miss Fortune, Ambessa","Jayce, Pantheon",Sejuani,Renata Glasc,Viktor,Orianna,Alistar,Elise,"Shen, Ahri",Sylas,Bot,Top,Jungle,Support,Mid,Bot,Top,Jungle,Support,Mid,SB,https://youtu.be/5y5kz6GqHJg?t=2803
Week 4,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,0 - 1,2,25.S1.3,Skarner,Kalista,Sejuani,K'Sante,Rakan,Aurora,Ashe,"Rumble, Xin Zhao","Braum, Azir",Ezreal,Vi,Akali,Viego,Viktor,Leona,"Wukong, Ornn",Taliyah,Bot,Support,Mid,Jungle,Top,Top,Jungle,Bot,Support,Mid,SB,https://youtu.be/5y5kz6GqHJg?t=1
Week 4,DetonatioN FocusMe,GAM Esports,0 - 2,2,25.S1.3,Kalista,Aurora,Ambessa,Vi,Nocturne,Ashe,K'Sante,"Jayce, Varus","Miss Fortune, Sejuani",Renata Glasc,Mel,Wukong,Neeko,Viktor,Diana,"Taliyah, Pyke",Yone,Top,Bot,Jungle,Mid,Support,Top,Bot,Support,Jungle,Mid,SB,https://youtu.be/gx3RaqlcKYo?t=13525
Week 4,GAM Esports,DetonatioN FocusMe,1 - 0,1,25.S1.3,Aurora,Kalista,Ashe,Nocturne,Vi,K'Sante,Skarner,"Kai'Sa, Xin Zhao","Rumble, Corki",Rakan,Poppy,Udyr,Alistar,Ornn,Sion,"Caitlyn, Elise",Azir,Jungle,Top,Mid,Bot,Support,Bot,Jungle,Support,Top,Mid,SB,https://youtu.be/gx3RaqlcKYo?t=10380
Week 3,MGN Vikings Esports,DetonatioN FocusMe,2 - 1,1,25.S1.3,Vi,Zyra,Kalista,Nocturne,Sejuani,Corki,Aurora,"Caitlyn, Viego","Lee Sin, Jax",Azir,Kai'Sa,Sion,Jinx,Lux,Gragas,"Lucian, Nami",Karma,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support,SB,https://youtu.be/rXg6uqsm20Y?t=21018
Week 3,DetonatioN FocusMe,MGN Vikings Esports,1 - 1,1,25.S1.3,Zyra,Vi,Nocturne,Kalista,Corki,Aurora,Rumble,"Ambessa, Miss Fortune","Ezreal, Pantheon",Skarner,Karma,Viktor,Leona,Rell,Elise,"Ahri, Braum",Lissandra,Top,Bot,Jungle,Mid,Support,Top,Bot,Jungle,Support,Mid,SB,https://youtu.be/rXg6uqsm20Y?t=17726
Week 3,MGN Vikings Esports,DetonatioN FocusMe,1 - 0,1,25.S1.3,Vi,Zyra,Kalista,Nocturne,Aurora,Corki,K'Sante,"Ashe, Xin Zhao","Varus, Wukong",Jayce,Pyke,Azir,Poppy,Braum,Rakan,"Orianna, Nautilus",Hwei,Top,Bot,Jungle,Mid,Support,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/rXg6uqsm20Y?t=14643
Week 3,DetonatioN FocusMe,CTBC Flying Oyster,0 - 2,2,25.S1.2,Zyra,Aurora,Kalista,Vi,Skarner,Viego,Rumble,"Corki, Wukong","Nocturne, Orianna",Rakan,Ezreal,Galio,Poppy,Xayah,Sion,"Sivir, Rell",Viktor,Top,Jungle,Mid,Bot,Support,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/WpNG4qT-q3I?si=pqFEY9PtmxYck-is&t=5772
Week 3,CTBC Flying Oyster,DetonatioN FocusMe,1 - 0,1,25.S1.2,Aurora,Skarner,Vi,Zyra,Viego,Kalista,K'Sante,"Jayce, Ashe","Xin Zhao, Varus",Braum,Rakan,Pantheon,Orianna,Wukong,Sejuani,"Azir, Bard",Hwei,Top,Jungle,Bot,Mid,Support,Top,Bot,Support,Jungle,Mid,SB,https://www.youtube.com/live/WpNG4qT-q3I?si=RUorSA1TBbBuc8TW&t=2686
Week 2,DetonatioN FocusMe,TALON (Hong Kong Team),0 - 2,2,25.S1.2,Kalista,Zyra,Skarner,Nocturne,Jayce,Ashe,Caitlyn,"Jhin, Xin Zhao","Viego, Jax",Aurora,Orianna,Ambessa,Viktor,Neeko,Gragas,"Vladimir, Pantheon",Alistar,Bot,Jungle,Top,Mid,Support,Bot,Jungle,Mid,Top,Support,SB,https://youtu.be/UKYyczfiaLw?t=15004
