champion,games,ban_order_blue,ban_order_red
Nocturne,10,"[3, 2, 1, 1]","[2, 2, 2, 1, 1, 1]"
Skarner,8,"[1, 1, 3, 2]","[1, 2, 2, 3]"
Viktor,6,"[4, 5, 5, 4, 3]",[2]
Kalista,6,"[1, 2, 1]","[1, 3, 1]"
Zyra,5,"[1, 1]","[1, 1, 2]"
Poppy,4,[3],"[4, 5, 5]"
Corki,3,[3],"[3, 3]"
Alistar,3,[5],"[5, 4]"
Rakan,3,"[2, 3]",[4]
Ashe,3,[3],"[3, 2]"
Orianna,2,[5],[5]
Galio,2,"[4, 2]",[]
Rell,2,"[5, 5]",[]
Ezreal,2,[],"[4, 4]"
Ambessa,2,"[2, 4]",[]
Nidalee,1,[],[5]
Lillia,1,[],[4]
Varus,1,[2],[]
Elise,1,[4],[]
Viego,1,[],[3]
Vi,1,[],[3]
Yone,1,[],[5]
Rumble,1,[4],[]
Pyke,1,[],[4]
Neeko,1,[5],[]
Jayce,1,[3],[]
Xayah,1,[5],[]
Jinx,1,[],[5]
Kai'Sa,1,[],[4]
K'Sante,1,[],[3]
Wukong,1,[4],[]
Akali,1,[4],[]
Sejuani,1,[2],[]
Braum,1,[],[5]
