Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane,Opp_champ,Damage share,gold7me,gold15me,xp7me,xp15me,gold7opp,gold15opp,xp7opp,xp15opp
Ryze,27095,28390,14357,29.883333333333333,247,24,4,True,MIDDLE,Annie,0.2290499015157279,2461.0,6228.0,3227.0,7424.0,2163.0,5472.0,2651.0,5867.0
Chogath,2105,13757,4895,15.2,136,0,3,False,MIDDLE,Syndra,0.15379557244100242,2116.0,4871.0,2731.0,7249.0,2744.0,6773.0,2922.0,7595.0
Zilean,22562,22646,12877,28.3,237,0,2,True,MIDDLE,Qiyana,0.2289047836453102,2397.0,6034.0,3188.0,8053.0,2136.0,4595.0,3110.0,7067.0
Ezreal,44047,25375,16272,33.03333333333333,334,20,0,True,BOTTOM,Zeri,0.3562721926993602,2472.0,5121.0,2171.0,6123.0,2265.0,4921.0,2243.0,5830.0
Tristana,38597,32844,15527,31.916666666666668,245,44,5,True,BOTTOM,Ashe,0.21407811685358358,2605.0,5915.0,2447.0,6478.0,1992.0,6284.0,1977.0,6345.0
Velkoz,19724,15399,9162,22.65,197,0,6,True,MIDDLE,Leblanc,0.29320648134383825,2533.0,6307.0,2703.0,7506.0,2530.0,5454.0,3098.0,7945.0
Kayle,4458,5789,6598,16.183333333333334,136,0,0,True,MIDDLE,Ekko,0.11684227079729517,2568.0,5936.0,2671.0,7482.0,2063.0,4992.0,2870.0,7514.0
Yasuo,3015,7709,7300,19.45,192,0,2,False,MIDDLE,Akshan,0.07717708493318999,2254.0,5708.0,3049.0,7390.0,2350.0,5375.0,3367.0,6306.0
Jinx,40455,20617,17177,29.283333333333335,307,8,3,True,BOTTOM,Tristana,0.456587248738756,2447.0,6455.0,1884.0,5129.0,2618.0,5478.0,2279.0,5574.0
Ezreal,23836,20479,9665,23.4,185,0,9,False,BOTTOM,Smolder,0.2910414046569555,2425.0,6049.0,2306.0,6384.0,2703.0,6949.0,2113.0,6195.0
Velkoz,30995,14043,14107,29.733333333333334,257,12,2,True,MIDDLE,Riven,0.30664740742206437,2225.0,6249.0,3052.0,8268.0,2034.0,3904.0,2710.0,5690.0
Akshan,22516,19750,11924,29.516666666666666,236,4,5,False,MIDDLE,Akali,0.20684776717224146,2375.0,6059.0,3119.0,8064.0,2245.0,6268.0,2723.0,8168.0
Swain,29804,30982,12933,28.283333333333335,236,0,2,True,MIDDLE,Galio,0.2744231442093439,3259.0,6870.0,3610.0,7995.0,2326.0,5118.0,2652.0,6513.0
Xerath,11263,9267,6145,17.166666666666668,144,0,4,False,MIDDLE,Azir,0.2784356381795258,2331.0,5498.0,3110.0,7179.0,2369.0,6792.0,3182.0,8041.0
Yone,13441,17710,8665,15.9,148,11,2,True,MIDDLE,Azir,0.24422196380550912,2724.0,7942.0,3540.0,9036.0,1975.0,4729.0,2624.0,6582.0
Velkoz,39610,18460,14844,32.95,267,8,5,False,MIDDLE,Ahri,0.3794424753328863,2903.0,5951.0,3682.0,7973.0,2164.0,4846.0,2903.0,7122.0
Jayce,10145,8842,6827,15.316666666666666,137,0,1,True,MIDDLE,Aurora,0.22420880480905234,2489.0,6362.0,2788.0,7643.0,2001.0,4889.0,2922.0,6856.0
Akshan,27625,23328,14141,27.4,259,11,6,True,MIDDLE,Akali,0.3111659288795774,2892.0,6912.0,2844.0,7676.0,2559.0,5095.0,2834.0,6980.0
Poppy,34277,32867,12206,26.65,205,0,2,True,TOP,Renekton,0.2868704283347003,2002.0,5800.0,2895.0,7978.0,2570.0,5002.0,3191.0,6903.0
Ambessa,8143,20244,7549,22.883333333333333,187,3,6,False,MIDDLE,Viktor,0.15704312273393506,2237.0,4695.0,3253.0,6427.0,2507.0,5652.0,2715.0,6098.0
Yone,18666,27808,9229,27.0,215,0,7,False,MIDDLE,Akali,0.19841404821633574,2247.0,5502.0,3039.0,7414.0,2336.0,5472.0,3092.0,7587.0
Yasuo,16066,9953,11326,20.783333333333335,200,13,1,True,MIDDLE,Katarina,0.2485996348218983,2554.0,6657.0,3081.0,7631.0,1922.0,5637.0,3051.0,6647.0
Zilean,20769,24539,12497,29.483333333333334,234,0,2,True,MIDDLE,TwistedFate,0.1692527096406161,2350.0,5201.0,3078.0,7726.0,2867.0,6548.0,2992.0,8252.0
Sylas,26003,31579,9786,26.233333333333334,180,0,6,False,MIDDLE,Orianna,0.2815884085593,2035.0,5513.0,2728.0,7351.0,2352.0,5210.0,3190.0,7461.0
Ryze,41146,44136,22278,41.483333333333334,380,23,6,False,MIDDLE,Viktor,0.2978184397573792,2690.0,6719.0,3213.0,8014.0,2226.0,5056.0,3202.0,7762.0
Swain,20317,21700,11069,20.866666666666667,169,4,1,True,MIDDLE,Yasuo,0.2850748572310542,3176.0,6890.0,3381.0,8171.0,2079.0,5345.0,2805.0,7352.0
Sylas,21234,26161,13033,27.983333333333334,247,0,3,True,MIDDLE,Quinn,0.2756946247727863,2261.0,5772.0,3264.0,7652.0,2589.0,5095.0,3119.0,6884.0
Kayle,31154,31445,14709,36.0,308,20,8,False,TOP,KSante,0.21198388721047332,1915.0,4327.0,2619.0,6305.0,2495.0,5268.0,3419.0,8014.0
Ezreal,48511,28448,18798,33.95,274,12,5,True,BOTTOM,Corki,0.3176279553981235,3023.0,7008.0,2650.0,7177.0,2205.0,5602.0,2147.0,6128.0
Poppy,9910,13330,5580,15.65,117,0,3,False,MIDDLE,Yasuo,0.28782202085330083,2222.0,5329.0,3263.0,7647.0,2212.0,5884.0,2984.0,7276.0
Tristana,32001,23601,13894,33.71666666666667,238,25,4,True,BOTTOM,Yasuo,0.2825595563953591,2327.0,5391.0,2024.0,5904.0,2005.0,4632.0,1587.0,5715.0
Xerath,28766,15726,12326,28.566666666666666,225,6,4,True,MIDDLE,Viktor,0.275404499760651,2317.0,5472.0,3325.0,6898.0,2312.0,5640.0,2945.0,7776.0
