Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane,Opp_champ,Damage share,gold_me,xp_me,gold_opp,xp_opp,objs_me,objs_opp,my_team_id,obj_timeline
Jinx,14804,15540,9340,24.6,192,4,7,True,BOTTOM,Kaisa,0.1608238911038446,"[500, 500, 583, 944, 1171, 1458, 1846, 2147, 2417, 2728, 3181, 3597, 4050, 4366, 4933, 5292, 5519, 6022, 6329, 6784, 6978, 7338, 7805, 8122, 8656, 9340]","[0, 0, 80, 541, 759, 1190, 1650, 1943, 2268, 2799, 3297, 3941, 4483, 4980, 5529, 6015, 6223, 7350, 7746, 8582, 8677, 10127, 10775, 11210, 12273, 12683]","[500, 500, 631, 894, 1482, 1755, 2003, 2497, 2907, 3071, 3763, 3885, 4966, 5239, 6181, 6967, 7351, 8038, 8188, 9077, 9356, 9831, 10216, 10631, 10968, 11042]","[0, 0, 160, 491, 801, 1094, 1315, 1933, 2379, 2481, 3485, 3505, 4226, 4365, 5050, 5893, 6508, 7218, 7288, 8553, 8999, 9798, 10105, 10657, 10912, 10912]","{'DRAGON': 4, 'HORDE': 3, 'ATAKHAN': 1}","{'HORDE': 3, 'RIFTHERALD': 1}",200.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.38}, {'type': 'HORDE', 'sub_type': '', 'time': 6.48}, {'type': 'HORDE', 'sub_type': '', 'time': 6.53}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 20.03}], 200: [{'type': 'DRAGON', 'sub_type': 'FIRE_DRAGON', 'time': 6.54}, {'type': 'HORDE', 'sub_type': '', 'time': 10.79}, {'type': 'HORDE', 'sub_type': '', 'time': 10.96}, {'type': 'HORDE', 'sub_type': '', 'time': 11.26}, {'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 12.97}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 18.38}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 20.44}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 23.54}]}"
Corki,36740,25292,13835,23.15,176,16,6,True,MIDDLE,Fizz,0.3696251433630455,"[500, 500, 646, 860, 1213, 1814, 2104, 2670, 3095, 3532, 3918, 4438, 4800, 5061, 5909, 6151, 7055, 8091, 8814, 9083, 10519, 11225, 12316, 13805, 13835]","[0, 0, 276, 614, 1262, 1891, 2505, 3140, 3819, 4371, 4926, 5578, 5877, 6246, 7322, 7681, 8567, 9311, 10403, 10793, 11839, 13647, 14740, 15619, 15659]","[500, 500, 583, 839, 1045, 1330, 1627, 1997, 2162, 2352, 2697, 3035, 3157, 3654, 3957, 4545, 4817, 4945, 5459, 5645, 6067, 6203, 6564, 6888, 6908]","[0, 0, 276, 786, 1277, 1674, 2206, 2651, 3070, 3374, 4012, 4448, 4477, 5183, 5631, 6403, 6748, 6778, 7578, 8008, 8434, 8525, 9169, 9444, 9444]","{'HORDE': 6, 'RIFTHERALD': 1, 'ATAKHAN': 1}",{'DRAGON': 3},100.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.58}, {'type': 'HORDE', 'sub_type': '', 'time': 6.77}, {'type': 'HORDE', 'sub_type': '', 'time': 6.95}, {'type': 'HORDE', 'sub_type': '', 'time': 11.9}, {'type': 'HORDE', 'sub_type': '', 'time': 12.17}, {'type': 'HORDE', 'sub_type': '', 'time': 12.37}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 17.88}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 20.87}], 200: [{'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 6.6}, {'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 12.62}, {'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 18.58}]}"
Mel,43811,17823,16061,29.483333333333334,253,0,3,True,MIDDLE,Gwen,0.3627519168032855,"[500, 500, 632, 902, 1262, 1668, 2055, 2486, 2744, 3097, 4216, 4688, 5366, 5723, 6614, 7064, 7525, 7918, 8312, 8942, 9633, 10070, 11302, 11642, 12049, 12396, 12941, 13788, 14274, 15527, 16061]","[0, 0, 276, 738, 1272, 1852, 2272, 2950, 3260, 3875, 4456, 5218, 5727, 6273, 6973, 7446, 8103, 8620, 9287, 10400, 10693, 11394, 12629, 13047, 13739, 14221, 15258, 16133, 16423, 17202, 18108]","[500, 500, 576, 776, 1036, 1222, 1393, 1681, 2187, 2519, 2655, 3070, 3491, 3829, 4375, 4810, 5215, 5527, 5861, 6284, 7762, 8429, 8959, 9405, 9527, 9887, 10433, 10794, 10917, 11215, 11273]","[0, 0, 215, 776, 1332, 1517, 1824, 2471, 2982, 3721, 3895, 4543, 5218, 5590, 5974, 6396, 7158, 7711, 8304, 8983, 9904, 10372, 10925, 11603, 11603, 12174, 13421, 13761, 13761, 14264, 14264]","{'HORDE': 6, 'DRAGON': 3, 'RIFTHERALD': 1, 'ATAKHAN': 1, 'BARON_NASHOR': 1}",{},200.0,"{200: [{'type': 'HORDE', 'sub_type': '', 'time': 6.17}, {'type': 'HORDE', 'sub_type': '', 'time': 6.38}, {'type': 'HORDE', 'sub_type': '', 'time': 6.52}, {'type': 'HORDE', 'sub_type': '', 'time': 10.78}, {'type': 'HORDE', 'sub_type': '', 'time': 10.98}, {'type': 'HORDE', 'sub_type': '', 'time': 11.1}, {'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 13.14}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 17.46}, {'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 18.77}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 24.29}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 25.69}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 26.57}]}"
Jinx,12028,16625,9444,21.833333333333332,193,8,6,False,BOTTOM,Corki,0.20580384641708302,"[500, 500, 604, 944, 1639, 2137, 2448, 2831, 3024, 3333, 3547, 4110, 4664, 5078, 5919, 6424, 6817, 7086, 7549, 8600, 8812, 9279, 9444]","[0, 0, 185, 648, 1043, 1120, 1702, 2289, 2592, 3078, 3301, 3737, 4290, 4938, 5417, 6016, 6392, 6909, 7461, 8481, 8760, 9206, 9596]","[500, 500, 646, 1020, 1255, 2048, 2441, 2779, 3411, 3771, 4213, 4531, 5290, 6171, 7117, 7481, 8430, 8703, 9167, 10184, 10461, 11243, 12097]","[0, 0, 180, 541, 863, 1434, 1787, 2457, 2967, 3581, 4039, 4326, 4855, 5404, 6082, 6562, 7204, 7745, 8544, 9228, 9524, 10129, 11170]",{'HORDE': 1},"{'HORDE': 5, 'DRAGON': 2, 'RIFTHERALD': 1}",200.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.22}, {'type': 'HORDE', 'sub_type': '', 'time': 6.4}, {'type': 'DRAGON', 'sub_type': 'FIRE_DRAGON', 'time': 9.84}, {'type': 'HORDE', 'sub_type': '', 'time': 11.4}, {'type': 'HORDE', 'sub_type': '', 'time': 11.55}, {'type': 'HORDE', 'sub_type': '', 'time': 11.62}, {'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 15.22}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 18.03}], 200: [{'type': 'HORDE', 'sub_type': '', 'time': 6.53}]}"
Tristana,11328,20349,10402,28.133333333333333,239,8,2,False,BOTTOM,Ezreal,0.1250952459831042,"[500, 500, 562, 860, 1297, 1640, 2000, 2257, 2557, 2889, 3255, 3482, 4106, 4478, 4894, 5193, 5441, 6097, 6283, 6699, 6922, 7287, 7578, 8113, 8542, 9031, 9603, 10142, 10386, 10402]","[0, 0, 40, 524, 1103, 1582, 2078, 2355, 2910, 3388, 3832, 4203, 4847, 5438, 6064, 6516, 6903, 7391, 7585, 8172, 8617, 9330, 9883, 10409, 10610, 11231, 11998, 12566, 12687, 12687]","[500, 500, 646, 951, 1241, 1696, 1944, 2729, 3054, 3487, 3861, 4163, 4484, 5119, 5815, 6134, 6490, 6875, 7647, 8006, 8128, 8558, 9554, 10455, 11136, 11498, 12265, 12804, 14008, 14025]","[0, 0, 180, 541, 783, 1506, 1727, 2611, 3054, 3763, 4217, 4489, 4938, 5525, 6223, 6733, 7196, 7770, 8606, 9028, 9113, 9952, 10196, 10724, 11584, 11979, 12576, 13477, 14385, 14385]","{'HORDE': 3, 'DRAGON': 3, 'ATAKHAN': 1}","{'DRAGON': 1, 'HORDE': 3, 'RIFTHERALD': 1}",200.0,"{200: [{'type': 'HORDE', 'sub_type': '', 'time': 6.4}, {'type': 'HORDE', 'sub_type': '', 'time': 6.56}, {'type': 'HORDE', 'sub_type': '', 'time': 6.64}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 12.9}, {'type': 'DRAGON', 'sub_type': 'FIRE_DRAGON', 'time': 19.6}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 21.18}, {'type': 'DRAGON', 'sub_type': 'FIRE_DRAGON', 'time': 24.87}], 100: [{'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 6.95}, {'type': 'HORDE', 'sub_type': '', 'time': 11.32}, {'type': 'HORDE', 'sub_type': '', 'time': 11.54}, {'type': 'HORDE', 'sub_type': '', 'time': 11.6}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 16.95}]}"
Hwei,8779,4864,7540,15.35,159,0,0,True,MIDDLE,Syndra,0.1986918341481079,"[500, 500, 646, 979, 1374, 1686, 1983, 2593, 3012, 3562, 3934, 4726, 5213, 5801, 6688, 7497, 7540]","[0, 0, 276, 829, 1477, 2125, 2667, 3391, 4039, 4489, 5206, 6333, 6611, 7259, 8417, 8994, 8994]","[500, 500, 646, 957, 1362, 1700, 2043, 2292, 2740, 3095, 3428, 3811, 4031, 4365, 4565, 4809, 4922]","[0, 0, 276, 829, 1477, 2125, 2701, 3038, 3709, 4262, 4899, 5176, 5544, 6210, 6432, 6777, 6897]",{'HORDE': 6},{},100.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.21}, {'type': 'HORDE', 'sub_type': '', 'time': 6.46}, {'type': 'HORDE', 'sub_type': '', 'time': 6.54}, {'type': 'HORDE', 'sub_type': '', 'time': 10.92}, {'type': 'HORDE', 'sub_type': '', 'time': 10.99}, {'type': 'HORDE', 'sub_type': '', 'time': 11.12}]}"
Kayle,46514,30416,18545,37.55,355,8,5,True,MIDDLE,Irelia,0.3630304307444957,"[500, 500, 597, 825, 1120, 1442, 1788, 2411, 2576, 2917, 3304, 3573, 3955, 4120, 4493, 4616, 4979, 5448, 5871, 6729, 7046, 7432, 7770, 8184, 9008, 9869, 10710, 11511, 11974, 13109, 13630, 14212, 14390, 14979, 15769, 16284, 16938, 18126, 18545]","[0, 0, 246, 738, 1373, 1991, 2574, 3079, 3265, 3897, 4545, 5092, 5731, 5944, 6407, 6468, 7085, 7766, 8645, 9380, 9995, 10582, 11173, 11688, 12354, 13525, 14720, 16155, 16762, 17994, 18513, 19339, 19466, 19972, 20770, 21277, 22023, 22528, 22916]","[500, 500, 632, 937, 1339, 1714, 1961, 2254, 3049, 3342, 3747, 4170, 4449, 5445, 6208, 7514, 8137, 9064, 9496, 9905, 10104, 10580, 10968, 11964, 12820, 12984, 13556, 14043, 14483, 14662, 14869, 15205, 15712, 16687, 17138, 17260, 17382, 17505, 17571]","[0, 0, 246, 768, 1477, 2114, 2515, 2905, 3654, 4078, 4726, 5403, 5857, 6991, 7517, 8910, 10030, 10307, 10985, 11571, 11787, 12587, 13164, 14121, 14611, 14773, 15192, 15973, 16710, 16832, 16952, 17353, 18311, 18559, 19281, 19281, 19281, 19281, 19281]","{'DRAGON': 3, 'HORDE': 5, 'BARON_NASHOR': 1}","{'DRAGON': 3, 'HORDE': 1, 'RIFTHERALD': 1, 'ATAKHAN': 1, 'BARON_NASHOR': 1}",100.0,"{100: [{'type': 'DRAGON', 'sub_type': 'EARTH_DRAGON', 'time': 6.19}, {'type': 'HORDE', 'sub_type': '', 'time': 8.62}, {'type': 'HORDE', 'sub_type': '', 'time': 8.84}, {'type': 'HORDE', 'sub_type': '', 'time': 8.96}, {'type': 'HORDE', 'sub_type': '', 'time': 13.21}, {'type': 'HORDE', 'sub_type': '', 'time': 13.83}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 25.8}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 29.94}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 35.26}], 200: [{'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 12.59}, {'type': 'HORDE', 'sub_type': '', 'time': 14.01}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 18.09}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 19.09}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 21.91}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 24.86}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 33.95}]}"
Hwei,34327,20978,15621,29.633333333333333,267,4,4,True,MIDDLE,Corki,0.28835072156981334,"[500, 500, 604, 1174, 1534, 1898, 2809, 3206, 3610, 3803, 4210, 4710, 5183, 5751, 6056, 6418, 7848, 8224, 8714, 9193, 9509, 10197, 10430, 10578, 11063, 11533, 13042, 14208, 14900, 15443, 15621]","[0, 0, 276, 816, 1494, 1997, 2567, 3066, 3714, 3983, 4662, 5289, 5911, 6858, 7198, 7797, 8727, 9159, 10126, 10949, 11504, 12333, 12457, 12457, 13103, 13784, 14916, 16394, 16908, 17959, 17959]","[500, 500, 646, 951, 1325, 1532, 1787, 2077, 2370, 3072, 3376, 3719, 4076, 4363, 4760, 5097, 5370, 6073, 6524, 7029, 7480, 8169, 8291, 8974, 9347, 10160, 10538, 10661, 10819, 12111, 12189]","[0, 0, 276, 798, 1385, 1723, 2179, 2499, 3094, 3447, 4204, 4694, 5185, 5535, 6125, 6858, 7138, 8707, 9635, 10277, 10825, 11421, 11421, 13486, 14110, 15371, 15478, 15478, 15695, 16620, 16620]","{'HORDE': 4, 'DRAGON': 3, 'RIFTHERALD': 1, 'BARON_NASHOR': 1}","{'DRAGON': 1, 'HORDE': 2, 'ATAKHAN': 1}",100.0,"{100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.29}, {'type': 'HORDE', 'sub_type': '', 'time': 6.51}, {'type': 'HORDE', 'sub_type': '', 'time': 6.54}, {'type': 'HORDE', 'sub_type': '', 'time': 10.98}, {'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 12.66}, {'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 18.19}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 18.25}, {'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 23.47}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 26.55}], 200: [{'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 7.2}, {'type': 'HORDE', 'sub_type': '', 'time': 10.76}, {'type': 'HORDE', 'sub_type': '', 'time': 11.14}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 22.59}]}"
Velkoz,16155,16733,8881,29.483333333333334,30,0,7,False,UTILITY,Rell,0.20768251764433646,"[500, 500, 567, 1235, 1494, 1721, 2202, 2563, 2858, 3403, 3617, 4023, 4185, 4753, 5056, 5506, 5952, 6150, 6371, 6600, 6826, 7009, 7189, 7672, 7889, 8048, 8260, 8488, 8655, 8807, 8881]","[0, 0, 180, 569, 911, 1190, 1581, 1827, 1888, 2236, 2337, 2665, 2704, 2869, 3532, 4193, 4301, 4385, 4672, 5065, 5660, 5903, 6461, 7661, 8463, 8687, 8980, 9147, 9808, 10188, 10188]","[500, 500, 569, 768, 982, 1632, 1821, 2186, 2449, 2789, 3046, 3345, 3613, 3913, 4100, 4297, 4525, 4865, 5460, 5721, 5873, 6460, 6698, 6975, 7127, 7291, 7503, 8197, 8430, 8663, 8909]","[0, 0, 0, 243, 627, 746, 807, 1015, 1091, 1393, 1725, 2011, 2168, 2839, 2954, 3162, 3724, 4451, 4933, 5469, 5492, 6898, 7739, 7883, 7883, 8195, 8541, 9960, 10242, 10624, 11080]","{'DRAGON': 3, 'HORDE': 3, 'RIFTHERALD': 1}","{'HORDE': 3, 'DRAGON': 2, 'ATAKHAN': 1, 'BARON_NASHOR': 1}",200.0,"{200: [{'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 6.48}, {'type': 'HORDE', 'sub_type': '', 'time': 10.83}, {'type': 'HORDE', 'sub_type': '', 'time': 10.92}, {'type': 'HORDE', 'sub_type': '', 'time': 11.04}, {'type': 'DRAGON', 'sub_type': 'WATER_DRAGON', 'time': 11.83}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 17.61}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 22.33}], 100: [{'type': 'HORDE', 'sub_type': '', 'time': 6.52}, {'type': 'HORDE', 'sub_type': '', 'time': 6.62}, {'type': 'HORDE', 'sub_type': '', 'time': 6.7}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 17.1}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 21.28}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 26.32}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 27.87}]}"
Yone,34865,38939,15987,33.85,272,28,2,True,MIDDLE,Azir,0.23126467583809815,"[500, 500, 604, 965, 1332, 1612, 1867, 2233, 2768, 3139, 3435, 3860, 4192, 4752, 5084, 5459, 5714, 6416, 6658, 7025, 7931, 9249, 9708, 10085, 10425, 10838, 11184, 11352, 11583, 12717, 13408, 13945, 14515, 14748, 15987]","[0, 0, 215, 829, 1446, 2035, 2534, 3162, 3810, 4316, 4841, 5467, 5986, 6663, 7204, 7945, 8306, 9313, 9945, 10661, 11736, 12587, 13861, 14420, 15038, 15544, 16049, 16139, 16184, 17257, 17656, 18570, 18912, 19163, 20172]","[500, 500, 646, 958, 1325, 1811, 2059, 2399, 2727, 3038, 3571, 3942, 4263, 4664, 5308, 5657, 5999, 6578, 6763, 7195, 7584, 7951, 8221, 8476, 8727, 9015, 9224, 9646, 9930, 10076, 10351, 11047, 11468, 11648, 11891]","[0, 0, 276, 829, 1405, 1730, 2209, 2779, 3365, 3918, 4514, 5029, 5483, 6131, 6777, 7361, 7908, 8924, 9139, 9813, 10323, 11024, 11361, 11609, 12065, 12281, 12621, 13381, 13828, 13906, 14246, 15210, 15714, 15875, 15986]","{'HORDE': 1, 'ATAKHAN': 1, 'DRAGON': 2}","{'DRAGON': 3, 'HORDE': 5, 'RIFTHERALD': 1, 'BARON_NASHOR': 1}",100.0,"{200: [{'type': 'DRAGON', 'sub_type': 'HEXTECH_DRAGON', 'time': 5.51}, {'type': 'HORDE', 'sub_type': '', 'time': 6.42}, {'type': 'HORDE', 'sub_type': '', 'time': 6.56}, {'type': 'HORDE', 'sub_type': '', 'time': 6.62}, {'type': 'HORDE', 'sub_type': '', 'time': 11.0}, {'type': 'HORDE', 'sub_type': '', 'time': 11.05}, {'type': 'DRAGON', 'sub_type': 'AIR_DRAGON', 'time': 11.89}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 17.76}, {'type': 'RIFTHERALD', 'sub_type': '', 'time': 19.96}, {'type': 'BARON_NASHOR', 'sub_type': '', 'time': 26.1}], 100: [{'type': 'HORDE', 'sub_type': '', 'time': 10.85}, {'type': 'ATAKHAN', 'sub_type': '', 'time': 21.41}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 23.02}, {'type': 'DRAGON', 'sub_type': 'CHEMTECH_DRAGON', 'time': 28.62}]}"
