Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Finals,Karmine Corp,Hanwha Life Esports,1 - 2,2,25.05,Vi,Ambessa,Nidalee,Yone,Akali,Kalista,Sejuani,"Ashe, Jax","Jhin, Gangplank",Sylas,Poppy,Nocturne,Ryze,Zac,Xin Zhao,"Rell, Viktor",Sett,Jungle,Bot,Top,Support,Mid,Bot,Top,Mid,Jungle,Support,SB,
Finals,Hanwha Life Esports,Karmine Corp,1 - 1,1,25.05,Poppy,Vi,Sejuani,Yone,Ambessa,Kalista,Skarner,"Ivern, Ezreal","Varus, Gnar",Leona,Rell,Corki,Akali,Viktor,Aatrox,"Braum, Aurora",Hwei,Jungle,Bot,Top,Support,Mid,Jungle,Bot,Support,Top,Mid,SB,https://youtu.be/SDxALth51LY?si=QkixIyIwmHujF2Hp
Finals,Hanwha Life Esports,Karmine Corp,0 - 1,2,25.05,Poppy,Ezreal,Skarner,Varus,Yone,Vi,Rumble,"Maokai, Jayce","Wukong, Azir",Taliyah,Rell,Kalista,Jhin,Ashe,Miss Fortune,"Kai'Sa, Alistar",Rakan,Top,Jungle,Mid,Bot,Support,Jungle,Top,Mid,Bot,Support,SB,https://youtu.be/K04jGtSPeEk?si=FfKPsuM1nzYcvb-5
Semifinals,Top Esports,Hanwha Life Esports,0 - 3,2,25.05,Caitlyn,Kalista,Taliyah,Nidalee,Gnar,Skarner,Ambessa,"Maokai, Jhin","Pantheon, Aurora",Jax,Lulu,Poppy,Leona,Tristana,Vladimir,"Corki, Bard",Blitzcrank,Top,Jungle,Mid,Bot,Support,Jungle,Bot,Top,Mid,Support,SB,https://youtu.be/OlZx5hxG-O0?si=dbmgljHTGRmkj26Q
Semifinals,Top Esports,Hanwha Life Esports,0 - 2,2,25.05,Poppy,Kalista,Skarner,Ambessa,Gnar,Aurora,Varus,"Vi, Ashe","Xin Zhao, Sylas",Akali,Karma,Braum,Leona,Renata Glasc,Rell,"Nautilus, Renekton",Aatrox,Bot,Jungle,Mid,Support,Top,Jungle,Bot,Mid,Support,Top,SB,https://youtu.be/cgaT0LYsu-g?si=IULNSrQXBTHkkvKZ
Semifinals,Hanwha Life Esports,Top Esports,1 - 0,1,25.05,Poppy,Skarner,Vi,Akali,Kalista,Varus,Rumble,"Yone, Sejuani","Wukong, Ezreal",Jayce,Sylas,Ashe,Ahri,Kai'Sa,Miss Fortune,"Azir, Alistar",Rakan,Top,Jungle,Bot,Mid,Support,Mid,Jungle,Top,Bot,Support,SB,https://youtu.be/2hNODnVcxmU?si=ya2PTljvxtAb_Vhi
Semifinals,Karmine Corp,CTBC Flying Oyster,3 - 2,1,25.05,Zyra,Viktor,Lillia,Draven,Miss Fortune,Lulu,Corki,"Skarner, Orianna","Maokai, Jax",Gangplank,Ziggs,Lucian,Poppy,Rakan,Zeri,"Nilah, Senna",Yuumi,Mid,Jungle,Top,Bot,Support,Jungle,Mid,Top,Bot,Support,SB,https://youtu.be/ggthY7CWxQs?si=KpIfaIO4vxVKtLIs
Semifinals,CTBC Flying Oyster,Karmine Corp,2 - 2,1,25.05,Maokai,Zyra,Draven,Lillia,Viktor,Skarner,Kalista,"Caitlyn, Wukong","Renata Glasc, Nocturne",Karma,Orianna,Gangplank,Jax,Gwen,Aurora,"Akali, Ornn",Gnar,Bot,Support,Jungle,Mid,Top,Bot,Jungle,Support,Mid,Top,SB,https://youtu.be/utv6p1Hmchk?si=j2OYDs9IlNqLhZv7&t=5
Semifinals,Karmine Corp,CTBC Flying Oyster,2 - 1,2,25.05,Zyra,Kalista,Viktor,Renata Glasc,Maokai,Skarner,Ambessa,"Nidalee, Ashe","Vi, Jhin",Renekton,Ahri,Poppy,Rakan,Braum,Tristana,"Pyke, Hwei",Thresh,Top,Jungle,Bot,Support,Mid,Jungle,Bot,Top,Mid,Support,SB,https://youtu.be/1Kgya_DErrk?si=2VvnTPw1uQY_H_n1&t=0
Semifinals,CTBC Flying Oyster,Karmine Corp,0 - 2,2,25.05,Maokai,Zyra,Kalista,Skarner,Ambessa,Vi,Ezreal,"Taliyah, Kai'Sa","Nautilus, Gragas",Rell,Viktor,Gnar,Tristana,Wukong,Aatrox,"Kindred, Galio",Pantheon,Bot,Support,Top,Jungle,Mid,Mid,Bot,Support,Top,Jungle,SB,https://youtu.be/T0i_lw-y4ys?si=9XSj7ltw4By6tLn5&t=0
Semifinals,CTBC Flying Oyster,Karmine Corp,0 - 1,2,25.05,Maokai,Zyra,Kalista,Skarner,Ezreal,Vi,Rumble,"Varus, Sejuani","Xin Zhao, Azir",Yone,Miss Fortune,Ambessa,Jhin,Renata Glasc,Leona,"Sivir, Alistar",Jayce,Top,Jungle,Mid,Bot,Support,Bot,Jungle,Mid,Support,Top,SB,https://youtu.be/bEbmkc1Q0JQ?si=_NkQd03Z4Cx7Jtoa&t=5
Groups Day 5,Hanwha Life Esports,Team Liquid,2 - 1,1,25.05,Taliyah,Yone,Poppy,Jayce,Sejuani,Rumble,Skarner,"Ezreal, Leona","Sivir, Braum",Ivern,Akali,Corki,Sylas,Azir,Viktor,"Kassadin, Ambessa",Jax,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Mid,Top,SB,https://youtu.be/OaiX_e7U7dA?feature=shared&t=407
Groups Day 5,Team Liquid,Hanwha Life Esports,1 - 1,1,25.05,Yone,Taliyah,Jayce,Rumble,Sylas,Skarner,Varus,"Jhin, Tristana","Maokai, Cassiopeia",Zyra,Jax,Alistar,Nautilus,Gnar,Rell,"Rakan, Renekton",Quinn,Bot,Jungle,Mid,Support,Top,Bot,Mid,Jungle,Support,Top,SB,https://youtu.be/pftkiAqzE88?feature=shared&t=6
Groups Day 5,Team Liquid,Hanwha Life Esports,0 - 1,2,25.05,Yone,Taliyah,Jayce,Rumble,Poppy,Skarner,Kalista,"Draven, Vi","Renata Glasc, K'Sante",Pyke,Tristana,Gnar,Maokai,Sylas,Ryze,"Ziggs, Pantheon",Kayle,Bot,Support,Top,Mid,Jungle,Bot,Jungle,Support,Mid,Top,SB,https://youtu.be/mKxBNNPgNnw?feature=shared&t=410
Groups Day 5,Top Esports,CTBC Flying Oyster,0 - 2,2,25.05,Zyra,Kalista,Vi,Ashe,Miss Fortune,Varus,Rumble,"Skarner, Azir","Xin Zhao, Sylas",Sion,Rakan,Rell,Draven,Braum,Nautilus,"Corki, Poppy",Caitlyn,Top,Jungle,Mid,Bot,Support,Jungle,Mid,Top,Support,Bot,SB,https://youtu.be/9Jr1ZdnUPdo?feature=shared&t=15
Groups Day 5,CTBC Flying Oyster,Top Esports,1 - 0,1,25.05,Vi,Rumble,Varus,Skarner,Kalista,Azir,Ezreal,"Nidalee, Leona","Sejuani, Jayce",Yone,Braum,Ashe,Poppy,Miss Fortune,Jhin,"Taliyah, Alistar",K'Sante,Bot,Jungle,Top,Mid,Support,Jungle,Support,Mid,Bot,Top,SB,https://youtu.be/pqP5tiTGSv4?feature=shared&t=7
Groups Day 4,Hanwha Life Esports,Karmine Corp,2 - 1,1,25.05,Zyra,Nidalee,Viktor,Yone,Skarner,Braum,Jayce,"Sejuani, Draven","Rell, Kai'Sa",Sion,Lillia,Nautilus,Gwen,Pyke,Rakan,"Wukong, Vladimir",Ryze,Mid,Support,Bot,Jungle,Top,Jungle,Bot,Top,Support,Mid,SB,https://youtu.be/hB88i08pKYQ?t=12
