champion,wins,games,winrate
Jayce,3,5,60.0
Leona,3,5,60.0
Sejuani,2,4,50.0
Ezreal,1,4,25.0
Taliyah,3,4,75.0
Jhin,1,3,33.3
Ambessa,1,3,33.3
Vi,0,3,0.0
Rakan,1,3,33.3
Yone,2,3,66.7
Aatrox,2,3,66.7
Ivern,2,3,66.7
Rell,1,3,33.3
Aurora,0,3,0.0
Varus,1,2,50.0
Karma,1,2,50.0
Kai'Sa,1,2,50.0
Azir,2,2,100.0
Xin Zhao,0,2,0.0
Gnar,0,2,0.0
Miss Fortune,2,2,100.0
Maokai,2,2,100.0
Hwei,0,2,0.0
Wukong,0,1,0.0
Alistar,1,1,100.0
Yuumi,0,1,0.0
Zeri,0,1,0.0
Ahri,0,1,0.0
Nautilus,0,1,0.0
Brand,0,1,0.0
Skarner,1,1,100.0
Ashe,1,1,100.0
Gangplank,0,1,0.0
Rumble,0,1,0.0
Ryze,0,1,0.0
Viktor,0,1,0.0
Caitlyn,0,1,0.0
Sion,0,1,0.0
Draven,0,1,0.0
Pantheon,1,1,100.0
Pyke,0,1,0.0
Corki,1,1,100.0
Jax,1,1,100.0
Nilah,1,1,100.0
Senna,1,1,100.0
Camille,1,1,100.0
