Date,Region,Tournament,Phase,Blue,Red,Score,Result,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
2025-03-23,EMEA,EM 2025 Winter,Finals,Ici Japon Corp. Esport,Los Ratones,0 - 1,Loss,25.05,Azir,Maokai,Ivern,Varus,Corki,Ezreal,Rumble,"Galio, Jhin","Skarner, Miss Fortune",Viego,Yone,Braum,Nautilus,Ryze,Orianna,"Viktor, Alistar",Bard,Top,Jungle,Bot,Mid,Support,Top,Bot,Jungle,Mid,Support,SB,
2025-03-21,EMEA,EM 2025 Winter,Semifinals,Ici Japon Corp. Esport,Karmine Corp Blue,3 - 1,Win,25.05,Azir,Varus,Draven,Kalista,Galio,Skarner,Akali,"Sivir, Aurora","Tristana, Blitzcrank",K'Sante,Gnar,Yuumi,Aatrox,Lulu,Nocturne,"Renekton, Viego",Karma,Mid,Bot,Support,Top,Jungle,Bot,Mid,Top,Jungle,Support,SB,https://youtu.be/o534GvQW5vI?t=13049
2025-03-21,EMEA,EM 2025 Winter,Semifinals,Ici Japon Corp. Esport,Karmine Corp Blue,2 - 1,Loss,25.05,Azir,Varus,Skarner,Kalista,Draven,Akali,Corki,"Leona, Yone","Nautilus, Xin Zhao",Nidalee,LeBlanc,Kai'Sa,Aurora,Renekton,Xayah,"Ahri, Ambessa",Poppy,Bot,Support,Jungle,Mid,Top,Support,Mid,Jungle,Bot,Top,SB,https://youtu.be/o534GvQW5vI?t=9961
2025-03-21,EMEA,EM 2025 Winter,Semifinals,Karmine Corp Blue,Ici Japon Corp. Esport,0 - 2,Win,25.05,Varus,Azir,Poppy,Skarner,Kalista,Corki,Rell,"Sejuani, Rakan","Taliyah, Ashe",Jhin,Pantheon,Aatrox,Xin Zhao,Gwen,Viktor,"Wukong, Ornn",Jax,Support,Mid,Bot,Jungle,Top,Jungle,Support,Bot,Mid,Top,SB,https://youtu.be/o534GvQW5vI?t=5960
2025-03-21,EMEA,EM 2025 Winter,Semifinals,Ici Japon Corp. Esport,Karmine Corp Blue,1 - 0,Win,25.05,Azir,Varus,Skarner,Kalista,Corki,Sejuani,Maokai,"Ezreal, Rumble","Jayce, Miss Fortune",Vi,Poppy,Rell,Leona,Rakan,Braum,"Alistar, Orianna",Sylas,Jungle,Top,Bot,Support,Mid,Bot,Top,Jungle,Support,Mid,SB,https://youtu.be/o534GvQW5vI?t=3097
2025-03-20,EMEA,EM 2025 Winter,Quarterfinals,Ici Japon Corp. Esport,Geekay Esports,3 - 1,Win,25.05,Ivern,Jayce,Nocturne,Maokai,Taliyah,Renata Glasc,Kalista,"Varus, Aurora","Viktor, Xin Zhao",Trundle,Renekton,Pyke,Jax,Gnar,Blitzcrank,"Braum, Ornn",Gwen,Bot,Mid,Jungle,Support,Top,Bot,Mid,Jungle,Support,Top,SB,
2025-03-20,EMEA,EM 2025 Winter,Quarterfinals,Ici Japon Corp. Esport,Geekay Esports,2 - 1,Loss,25.05,Ivern,Jayce,Nocturne,Maokai,Kalista,Varus,Rumble,"Ambessa, Leona","Poppy, Tristana",Kai'Sa,Caitlyn,Aurora,Jhin,Taliyah,Volibear,"Zac, Xayah",Syndra,Top,Support,Mid,Jungle,Bot,Top,Support,Bot,Jungle,Mid,SB,
2025-03-20,EMEA,EM 2025 Winter,Quarterfinals,Geekay Esports,Ici Japon Corp. Esport,0 - 2,Win,25.05,Rumble,Maokai,Jayce,Ivern,Varus,Kalista,Sejuani,"Lillia, Miss Fortune","Ashe, Yone",Akali,Braum,Renekton,Ambessa,Jax,Rell,"Nautilus, Galio",Pantheon,Jungle,Bot,Top,Support,Mid,Jungle,Bot,Mid,Support,Top,SB,
2025-03-20,EMEA,EM 2025 Winter,Quarterfinals,Ici Japon Corp. Esport,Geekay Esports,1 - 0,Win,25.05,Ivern,Kalista,Sejuani,Rumble,Yone,Maokai,Ezreal,"Vi, Ahri","Skarner, Orianna",Corki,Renekton,Rell,Jayce,Ambessa,K'Sante,"Aatrox, Alistar",Rakan,Bot,Jungle,Mid,Top,Support,Jungle,Mid,Bot,Top,Support,SB,
2025-03-18,EMEA,EM 2025 Winter,Day 2,Berlin International Gaming,Ici Japon Corp. Esport,0 - 2,Win,25.05,Miss Fortune,Jinx,Ezreal,Maokai,Corki,Zyra,Ashe,"Varus, Viktor","Bel'Veth, Braum",Rakan,Galio,Xin Zhao,Ahri,Nocturne,Sejuani,"Sylas, Renekton",Jax,Bot,Jungle,Support,Mid,Top,Bot,Mid,Support,Jungle,Top,SB,https://youtu.be/hpNHumC8tM0?t=15368
2025-03-18,EMEA,EM 2025 Winter,Day 2,Berlin International Gaming,Ici Japon Corp. Esport,0 - 1,Win,25.05,Miss Fortune,Jinx,Corki,Maokai,Ezreal,Varus,Vi,"Rumble, Skarner","Kai'Sa, K'Sante",Xayah,Aurora,Rakan,Viktor,Braum,Orianna,"Hwei, Alistar",Leona,Jungle,Bot,Top,Mid,Support,Top,Jungle,Bot,Mid,Support,SB,https://youtu.be/hpNHumC8tM0?t=12136
2025-03-17,EMEA,EM 2025 Winter,Day 1,Team Phantasma,Ici Japon Corp. Esport,1 - 2,Win,25.05,Ezreal,Draven,Kalista,Zyra,Orianna,Vi,Viktor,"Miss Fortune, Sejuani","Ashe, Braum",Rakan,Xin Zhao,Aatrox,Pantheon,Ambessa,Taliyah,"Gnar, Wukong",Camille,Mid,Bot,Support,Top,Jungle,Bot,Jungle,Support,Mid,Top,SB,https://youtu.be/yHd6Or3eDLs?t=4810
