Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 4,TALON (Hong Kong Team),MGN Vikings Esports,2 - 1,1,25.S1.3,Zyra,Kalista,Wukong,K'Sante,Viktor,Vi,Aurora,"Ezreal, Lee Sin","Pantheon, Gragas",Karma,Lulu,Galio,Jhin,Orianna,Maokai,"Jinx, Poppy",Leona,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Mid,Top,Support,SB,https://youtu.be/FBCodivy_V4?t=15639
Week 4,MGN Vikings Esports,TALON (Hong Kong Team),1 - 1,1,25.S1.3,Kalista,K'Sante,Leona,Zyra,Vi,Aurora,Nocturne,"Kai'Sa, Xin Zhao","Ashe, Ambessa",Udyr,Pyke,Poppy,Orianna,Mel,Elise,"Annie, Ryze",Taliyah,Jungle,Bot,Top,Support,Mid,Bot,Jungle,Top,Support,Mid,SB,https://youtu.be/FBCodivy_V4?t=12865
Week 4,TALON (Hong Kong Team),MGN Vikings Esports,1 - 0,1,25.S1.3,Zyra,Kalista,K'Sante,Aurora,Ambessa,Nocturne,Skarner,"Corki, Jayce","Rumble, Varus",Brand,Leona,Jhin,Elise,Poppy,Nautilus,"Azir, Rell",Miss Fortune,Jungle,Top,Bot,Mid,Support,Mid,Top,Jungle,Support,Bot,SB,https://youtu.be/FBCodivy_V4?t=9544
Week 4,CTBC Flying Oyster,Chiefs Esports Club,2 - 0,1,25.S1.3,Aurora,Xin Zhao,Akali,Zyra,K'Sante,Jayce,Skarner,"Nocturne, Varus","Kai'Sa, Corki",Orianna,Jax,Poppy,Leona,Rakan,Alistar,"Udyr, Gragas",Sett,Jungle,Bot,Mid,Top,Support,Jungle,Bot,Mid,Support,Top,SB,https://youtu.be/FBCodivy_V4?t=5419
Week 4,CTBC Flying Oyster,Chiefs Esports Club,1 - 0,1,25.S1.3,Aurora,Zyra,K'Sante,Xin Zhao,Skarner,Corki,Kalista,"Rumble, Sejuani","Vi, Renata Glasc",Yone,Akali,Varus,Galio,Ashe,Miss Fortune,"Mel, Ornn",Nautilus,Bot,Jungle,Support,Mid,Top,Top,Jungle,Mid,Bot,Support,SB,https://youtu.be/FBCodivy_V4?t=2565
Week 4,GAM Esports,Team Secret Whales,0 - 2,2,25.S1.3,Wukong,Corki,Ezreal,Skarner,Kalista,Nocturne,K'Sante,"Aurora, Xin Zhao","Lee Sin, Orianna",Ambessa,Ashe,Kai'Sa,Poppy,Miss Fortune,Rakan,"Renata Glasc, Zeri",Jinx,Top,Jungle,Mid,Support,Bot,Mid,Jungle,Top,Support,Bot,SB,https://youtu.be/5y5kz6GqHJg?t=10641
Week 4,Team Secret Whales,GAM Esports,1 - 0,1,25.S1.3,Corki,Aurora,Zyra,Kalista,Skarner,Nocturne,Varus,"Rumble, Vi","Galio, Elise",Yone,Wukong,Kai'Sa,Xin Zhao,Miss Fortune,Caitlyn,"Viego, Jayce",Karma,Bot,Mid,Support,Jungle,Top,Top,Jungle,Mid,Bot,Support,SB,https://youtu.be/5y5kz6GqHJg?t=7784
Week 4,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,0 - 2,2,25.S1.3,Skarner,K'Sante,Rakan,Aurora,Poppy,Vi,Varus,"Miss Fortune, Ambessa","Jayce, Pantheon",Sejuani,Renata Glasc,Viktor,Orianna,Alistar,Elise,"Shen, Ahri",Sylas,Bot,Top,Jungle,Support,Mid,Bot,Top,Jungle,Support,Mid,SB,https://youtu.be/5y5kz6GqHJg?t=2803
Week 4,DetonatioN FocusMe,Fukuoka SoftBank HAWKS gaming,0 - 1,2,25.S1.3,Skarner,Kalista,Sejuani,K'Sante,Rakan,Aurora,Ashe,"Rumble, Xin Zhao","Braum, Azir",Ezreal,Vi,Akali,Viego,Viktor,Leona,"Wukong, Ornn",Taliyah,Bot,Support,Mid,Jungle,Top,Top,Jungle,Bot,Support,Mid,SB,https://youtu.be/5y5kz6GqHJg?t=1
Week 4,CTBC Flying Oyster,TALON (Hong Kong Team),2 - 1,1,25.S1.3,Lee Sin,Skarner,Kalista,Rumble,Renata Glasc,Wukong,Rakan,"Corki, Nocturne","Xayah, Gragas",Aurora,Orianna,Poppy,Taliyah,Elise,Rell,"Galio, Kindred",Gnar,Support,Bot,Top,Mid,Jungle,Bot,Jungle,Mid,Support,Top,SB,https://youtu.be/jYt9B0uLOlU?t=11305
