champion,wins,games,winrate
Ezreal,6,13,0.46153846153846156
Leona,5,11,0.45454545454545453
Vi,5,10,0.5
Varus,7,10,0.7
Aurora,3,9,0.3333333333333333
Rell,5,9,0.5555555555555556
Taliyah,6,9,0.6666666666666666
Azir,6,9,0.6666666666666666
Sejuani,4,8,0.5
Rakan,3,8,0.375
Jayce,5,8,0.625
Maokai,6,8,0.75
Alistar,5,8,0.625
Rumble,4,8,0.5
Ashe,6,8,0.75
Xin Zhao,2,8,0.25
Skarner,6,8,0.75
Corki,1,7,0.14285714285714285
Ambessa,2,7,0.2857142857142857
Yone,4,7,0.5714285714285714
Nautilus,2,6,0.3333333333333333
Miss Fortune,4,6,0.6666666666666666
Jax,4,6,0.6666666666666666
Jhin,2,6,0.3333333333333333
Aatrox,5,6,0.8333333333333334
Kai'Sa,2,5,0.4
Sylas,3,5,0.6
Wukong,2,5,0.4
K'Sante,2,5,0.4
Pantheon,2,5,0.4
Renata Glasc,1,5,0.2
Gnar,1,5,0.2
Kalista,1,5,0.2
Tristana,3,5,0.6
Ivern,2,4,0.5
Nidalee,3,4,0.75
Poppy,2,4,0.5
Gragas,0,3,0.0
Karma,1,3,0.3333333333333333
Nocturne,2,3,0.6666666666666666
Sion,2,3,0.6666666666666666
Akali,3,3,1.0
Gangplank,1,3,0.3333333333333333
Braum,3,3,1.0
Hwei,0,3,0.0
Vladimir,3,3,1.0
Viktor,1,3,0.3333333333333333
Renekton,2,3,0.6666666666666666
Yuumi,0,2,0.0
Ornn,2,2,1.0
Caitlyn,1,2,0.5
Pyke,1,2,0.5
Zeri,0,2,0.0
Orianna,0,2,0.0
Ryze,1,2,0.5
Draven,1,2,0.5
Kindred,0,2,0.0
Galio,0,2,0.0
Sivir,1,2,0.5
Ziggs,0,2,0.0
Viego,0,1,0.0
Karthus,0,1,0.0
Camille,1,1,1.0
Zed,1,1,1.0
Neeko,1,1,1.0
Brand,0,1,0.0
Lucian,1,1,1.0
Kennen,0,1,0.0
Ahri,0,1,0.0
Gwen,0,1,0.0
Nami,1,1,1.0
Nilah,1,1,1.0
Kayle,1,1,1.0
Quinn,0,1,0.0
Zyra,0,1,0.0
Cassiopeia,1,1,1.0
Kassadin,1,1,1.0
Thresh,1,1,1.0
Senna,1,1,1.0
Blitzcrank,1,1,1.0
Bard,0,1,0.0
Sett,1,1,1.0
Aurelion Sol,0,1,0.0
