champion,wins,games,winrate,adj
Varus,12,24,0.5,0.4303121328483647
Miss Fortune,12,22,0.5454545454545454,0.5093449723387027
Xin Zhao,14,20,0.7,0.65135101010101
Jayce,12,20,0.6,0.5520914270914271
Corki,11,19,0.5789473684210527,0.48188374305322274
Ambessa,7,19,0.3684210526315789,0.3569119746346922
Azir,7,18,0.3888888888888889,0.3262010198604402
K'Sante,10,18,0.5555555555555556,0.4999074074074074
Aurora,10,17,0.5882352941176471,0.5491681521093286
Ezreal,8,17,0.47058823529411764,0.422349392245586
Leona,5,17,0.29411764705882354,0.26998491704374056
Sejuani,5,16,0.3125,0.3059668082625354
Ashe,8,16,0.5,0.4792613636363636
Alistar,6,14,0.42857142857142855,0.4226963512677799
Braum,6,14,0.42857142857142855,0.40844155844155844
Wukong,8,14,0.5714285714285714,0.48728290850139594
Rell,4,14,0.2857142857142857,0.26626984126984127
Jax,7,14,0.5,0.49406883965707493
Rakan,9,14,0.6428571428571429,0.5804315059357076
Nautilus,6,12,0.5,0.40967190016103056
Rumble,7,12,0.5833333333333334,0.5798148148148148
Viego,3,12,0.25,0.24305555555555558
Vi,5,12,0.4166666666666667,0.33782419687592097
Kai'Sa,8,12,0.6666666666666666,0.6206615890083632
Poppy,6,11,0.5454545454545454,0.5165289256198347
Orianna,3,10,0.3,0.18222222222222223
Gragas,9,10,0.9,0.7615291160452451
Galio,5,10,0.5,0.4967532467532467
Viktor,7,10,0.7,0.6411010558069382
Nocturne,4,9,0.4444444444444444,0.49057239057239055
Pantheon,5,9,0.5555555555555556,0.5320987654320988
Skarner,5,9,0.5555555555555556,0.5120549581839904
Udyr,7,9,0.7777777777777778,0.6102367763658086
Renata Glasc,8,9,0.8888888888888888,0.835149808329885
Elise,5,9,0.5555555555555556,0.5075266070668369
Yone,3,9,0.3333333333333333,0.35390946502057613
Lee Sin,3,9,0.3333333333333333,0.24956228956228957
Hwei,4,8,0.5,0.4329411764705883
Caitlyn,3,8,0.375,0.36
Renekton,3,7,0.42857142857142855,0.4404761904761905
Ahri,2,7,0.2857142857142857,0.36428571428571427
Sion,2,7,0.2857142857142857,0.26750700280112044
Mel,3,6,0.5,0.3920236851271334
Kindred,2,5,0.4,0.40714285714285714
Sylas,1,5,0.2,0.19310344827586207
Akali,2,5,0.4,0.44000000000000006
Zyra,3,5,0.6,0.5266666666666666
Kalista,4,5,0.8,0.7877011494252875
Taliyah,2,5,0.4,0.4
Ornn,1,5,0.2,0.13103448275862067
Pyke,3,4,0.75,0.7083333333333334
Jhin,2,4,0.5,0.4318181818181818
Neeko,1,4,0.25,0.21666666666666667
Jinx,2,3,0.6666666666666666,0.6555555555555556
Gnar,0,3,0.0,0.0
Tristana,2,3,0.6666666666666666,0.5393939393939394
Diana,3,3,1.0,0.8617283950617285
Karma,0,3,0.0,0.0
Nidalee,3,3,1.0,0.8805704099821746
Lillia,0,2,0.0,0.0
Bard,2,2,1.0,0.7784313725490196
Vladimir,1,2,0.5,0.5
Xayah,1,2,0.5,0.5178571428571429
Maokai,1,2,0.5,0.5
Brand,1,2,0.5,0.4
Zeri,0,2,0.0,0.0
Draven,0,1,0.0,0.0
Malphite,1,1,1.0,0.5
Smolder,1,1,1.0,1.0
Yasuo,1,1,1.0,1.0
Ryze,1,1,1.0,1.0333333333333334
Swain,1,1,1.0,0.8571428571428572
Annie,1,1,1.0,1.0333333333333334
Sivir,0,1,0.0,0.0
Sett,0,1,0.0,0.0
Xerath,1,1,1.0,1.0
Urgot,0,1,0.0,0.0
Lissandra,0,1,0.0,0.0
Nami,1,1,1.0,0.7727272727272727
Lucian,1,1,1.0,0.7727272727272727
Tryndamere,0,1,0.0,0.0
Shen,0,1,0.0,0.0
Camille,1,1,1.0,1.2
Lux,1,1,1.0,1.0
