Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane
Hwei,39154,20699,13965,31.11666667,268,0,5,0,MIDDLE
LeeSin,37417,80819,16265,44.66666667,41,180,9,0,JUNGLE
Akali,30685,30163,15731,34.08333333,249,0,2,1,MIDDLE
Syndra,17805,15578,9079,23.23333333,155,0,6,0,MIDDLE
Syndra,28258,18020,15299,31.86666667,276,5,1,1,MIDDLE
Syndra,17480,23845,12097,34.51666667,256,0,7,1,MIDDLE
Syndra,35158,13041,14332,31.3,235,0,2,1,MIDDLE
Aurora,6531,11621,4789,15.78333333,97,0,6,0,MIDDLE
Akali,27631,35962,13933,34.1,240,4,4,0,MIDDLE
Viego,23998,55451,16187,37.61666667,59,186,4,1,JUNGLE
Syndra,39049,15841,12022,29.63333333,244,8,4,1,MIDDLE
Taliyah,36185,24474,13461,36.15,242,0,6,0,MIDDLE
Syndra,25906,24107,10845,29.8,181,0,9,1,MIDDLE
Hwei,55138,34572,18305,48.56666667,284,0,5,0,MIDDLE
Akali,26132,29021,13135,33.91666667,272,0,2,1,MIDDLE
Corki,22521,32422,12293,36.65,262,9,9,0,MIDDLE
LeeSin,16271,37034,11423,26.63333333,60,110,7,0,JUNGLE
Hwei,26806,18609,10172,27.58333333,233,0,3,0,MIDDLE
Syndra,33164,22894,18687,33.03333333,262,8,4,0,MIDDLE
Hwei,29698,19444,14594,30.48333333,256,0,3,1,MIDDLE
Aurora,14055,12486,9565,23.06666667,168,8,2,1,MIDDLE
LeeSin,10070,31257,10183,28.21666667,19,144,3,0,JUNGLE
Viego,18353,40499,12180,31.05,19,202,4,0,JUNGLE
Hwei,48449,32817,15096,39.58333333,227,4,8,1,MIDDLE
Hwei,17880,11194,9296,23.35,170,2,5,0,MIDDLE
Viego,9245,37287,10128,27.61666667,18,171,9,0,JUNGLE
Hwei,59884,25707,21062,47.4,354,4,4,0,MIDDLE
Syndra,29016,17847,14124,31.61666667,232,0,4,1,MIDDLE
Aurora,26532,20017,11052,29.13333333,232,0,7,0,MIDDLE
Akali,27357,38084,13384,34.6,211,0,9,1,MIDDLE
Hwei,38163,11170,15025,34.95,277,18,1,1,MIDDLE
Kaisa,43273,18036,15635,32.65,225,4,3,1,BOTTOM
Viego,9131,25882,7345,21.16666667,8,121,7,0,JUNGLE
Syndra,57682,27908,20632,44.36666667,322,4,4,1,MIDDLE
Hwei,12919,11568,8474,25.05,194,4,4,1,MIDDLE
Viego,26295,45868,15306,31.53333333,60,167,6,1,JUNGLE
LeeSin,18519,44702,13015,30.36666667,27,166,3,1,JUNGLE
Akali,3512,2953,3000,7.733333333,52,0,0,1,MIDDLE
Aurora,43949,31324,15358,36.1,293,0,4,0,MIDDLE
LeeSin,12229,39392,10241,30.05,31,173,6,0,JUNGLE
Viego,8268,26941,9167,22.63333333,25,132,3,1,JUNGLE
Sylas,7054,8584,5404,14.41666667,116,0,2,0,MIDDLE
Aurora,41375,37401,16957,40.86666667,270,0,7,0,MIDDLE
Aurora,18285,21818,11772,28.88333333,196,4,6,1,MIDDLE
Aurora,32235,38428,15328,33.78333333,282,0,7,0,MIDDLE
Aurora,43553,29678,14853,31.5,250,6,3,1,MIDDLE
Akali,30003,21795,11950,26.33333333,163,0,3,0,MIDDLE
Aurora,10989,18512,11189,29.23333333,251,1,3,0,MIDDLE
Aurora,25536,25545,12659,32.78333333,224,4,7,1,MIDDLE
Hwei,22764,14124,11653,25.13333333,217,4,0,1,MIDDLE
Sylas,11106,14504,7988,21.1,156,0,3,1,MIDDLE
LeeSin,15917,33380,9793,26.55,18,150,3,1,JUNGLE
