Champ,Damage_done,Damage_taken,Gold_earned,Match_length,Minions_slain,Monsters_killed,Deaths,Win,Lane
Ahri,20797.0,24794.0,8155.0,25.15,176.0,0.0,7.0,0.0,MIDDLE
Ahri,9804.0,9466.0,7023.0,15.216666666666667,143.0,0.0,1.0,1.0,MIDDLE
Ahri,35923.0,24119.0,14539.0,28.1,244.0,1.0,4.0,1.0,MIDDLE
Galio,24547.0,39576.0,10662.0,28.816666666666666,197.0,1.0,10.0,0.0,MIDDLE
Orianna,26294.0,28516.0,11387.0,31.15,215.0,4.0,8.0,0.0,MIDDLE
Taliyah,17399.0,17882.0,8756.0,22.916666666666668,171.0,11.0,6.0,0.0,MIDDLE
Orianna,59429.0,51215.0,20197.0,45.43333333333333,340.0,12.0,4.0,1.0,MIDDLE
Orianna,36025.0,32969.0,15729.0,37.38333333333333,243.0,20.0,11.0,1.0,MIDDLE
Smolder,19518.0,26893.0,10220.0,29.316666666666666,203.0,4.0,7.0,0.0,MIDDLE
Smolder,17997.0,19568.0,11421.0,25.983333333333334,214.0,4.0,6.0,1.0,MIDDLE
Ezreal,19991.0,22214.0,10469.0,25.466666666666665,163.0,8.0,9.0,1.0,BOTTOM
Jinx,5219.0,10385.0,6782.0,17.416666666666668,145.0,4.0,2.0,1.0,BOTTOM
Syndra,52023.0,38197.0,17966.0,40.983333333333334,283.0,8.0,10.0,0.0,MIDDLE
Orianna,34404.0,26209.0,15314.0,27.616666666666667,256.0,4.0,5.0,1.0,MIDDLE
Corki,43189.0,38967.0,16934.0,36.6,258.0,19.0,6.0,0.0,BOTTOM
Viktor,8498.0,11486.0,4626.0,15.216666666666667,116.0,0.0,7.0,0.0,MIDDLE
Viktor,30398.0,25973.0,11227.0,28.833333333333332,198.0,4.0,8.0,0.0,MIDDLE
Yone,26043.0,59273.0,15219.0,37.35,248.0,22.0,11.0,0.0,MIDDLE
Viktor,10522.0,12774.0,6098.0,15.583333333333334,106.0,0.0,4.0,1.0,MIDDLE
Yone,18379.0,43588.0,12217.0,29.916666666666668,236.0,12.0,9.0,0.0,MIDDLE
Yone,13841.0,15170.0,7504.0,15.866666666666667,127.0,0.0,3.0,1.0,MIDDLE
Viktor,45129.0,23945.0,15733.0,29.066666666666666,211.0,8.0,7.0,1.0,MIDDLE
Tristana,17140.0,21168.0,9499.0,26.05,179.0,4.0,8.0,0.0,MIDDLE
Taliyah,34810.0,29721.0,14767.0,34.516666666666666,241.0,21.0,11.0,1.0,MIDDLE
Tristana,46929.0,28134.0,16560.0,35.1,262.0,34.0,8.0,1.0,MIDDLE
Azir,28093.0,37291.0,11635.0,29.566666666666666,232.0,5.0,6.0,0.0,MIDDLE
